ConnectorChannelNum,DeviceChannelNum,PackageID,SiteOrientationNum
45,30,13,13
45,14,1,2
45,31,16,11
45,11,27,28
45,17,30,25
45,10,8,3
45,20,7,7
45,21,17,18
45,24,9,10
45,9,31,31
45,12,2,6
45,13,23,23
45,16,10,14
45,2,4,8
45,3,11,12
45,6,6,1
45,7,12,16
45,23,28,32
45,22,5,5
45,19,18,22
45,15,29,29
45,18,15,15
45,8,32,27
45,25,19,20
45,5,22,17
45,28,26,30
45,4,25,26
45,29,20,24
45,32,24,19
46,26,14,16
46,27,3,1
46,1,21,22
46,30,13,14
46,14,1,2
46,31,16,15
46,11,27,25
46,17,30,32
46,10,8,7
46,20,7,5
46,21,17,18
46,24,9,10
46,9,31,29
46,12,2,4
46,13,23,21
46,16,10,12
46,2,4,3
46,3,11,9
46,6,6,8
46,7,12,11
46,23,28,27
46,22,5,6
46,19,18,20
46,15,29,30
46,18,15,13
46,8,32,31
46,25,19,17
46,5,22,24
46,28,26,28
46,4,25,26
46,29,20,19
46,32,24,23
47,51,26,27
47,52,40,34
47,50,46,46
47,49,13,16
47,18,1,1
47,17,32,26
47,19,57,57
47,20,14,14
47,22,16,10
47,21,8,2
47,23,33,33
47,26,3,5
47,25,55,52
47,27,31,28
47,28,34,35
47,30,12,15
47,29,53,56
47,31,10,11
47,32,35,37
47,24,30,30
47,7,9,9
47,15,56,50
47,6,29,32
47,8,42,43
47,3,7,4
47,5,36,39
47,2,23,20
47,4,58,59
47,16,5,8
47,1,54,54
47,13,38,38
47,14,44,47
47,12,21,24
47,11,37,40
47,9,52,55
47,10,60,63
47,41,6,6
47,42,64,58
47,44,47,44
47,43,20,23
47,45,22,22
47,46,49,49
47,48,63,60
47,33,4,7
47,34,45,48
47,36,62,62
47,35,61,64
47,37,18,19
47,38,43,45
47,40,51,53
47,39,59,61
47,47,2,3
47,64,19,21
47,56,50,51
47,61,24,18
47,63,28,31
47,60,17,17
47,62,39,36
47,57,25,25
47,59,11,13
47,55,15,12
47,58,48,42
47,54,41,41
47,53,27,29
48,8,1,1
48,14,2,3
48,1,3,5
48,12,4,7
48,9,5,8
48,16,6,6
48,4,7,4
48,3,8,2
48,10,9,9
48,7,10,11
48,13,11,13
48,63,12,15
48,2,13,16
48,59,14,14
48,6,15,12
48,53,16,10
48,56,17,17
48,49,18,19
48,62,19,21
48,51,20,23
48,58,21,24
48,60,22,22
48,52,23,20
48,64,24,18
48,50,25,25
48,54,26,27
48,61,27,29
48,57,28,31
48,55,29,32
48,5,30,30
48,15,31,28
48,11,32,26
48,20,33,33
48,24,34,35
48,30,35,37
48,48,36,39
48,34,37,40
48,38,38,38
48,45,39,36
48,41,40,34
48,39,41,41
48,43,42,43
48,35,43,45
48,33,44,47
48,44,45,48
48,37,46,46
48,42,47,44
48,47,48,42
48,46,49,49
48,29,50,51
48,36,51,53
48,25,52,55
48,40,53,56
48,22,54,54
48,32,55,52
48,17,56,50
48,28,57,57
48,27,58,59
48,23,59,61
